LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
49.290539,-123.12318,Fountain location:Harbour Green Park,foot of Jervis Mews,Parks,spring to fall,,
49.280369,-123.040624,Fountain location:Hastings Community Park,besides path leading to spray,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG
49.280379,-123.038221,Fountain location:Hastings Community Park,besides wading pool,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG
49.283144,-123.042959,Fountain location:Hastings Park - italian gardens,near skate park,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
49.28173595,-123.0343871,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
49.28267652,-123.0332585,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
49.282563,-123.034264,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,field house at empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
49.28370822,-123.0333906,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,north of empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
49.28289204,-123.0345006,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
49.2456626,-123.106969,Fountain location:Hillcrest Park,,Parks,,,
49.244776,-123.107665,Fountain location:Hillcrest Park,,Parks,,,
49.2719084,-123.191736,Fountain location:Jericho Beach Park,,Parks,,,
49.253929,-123.061986,Fountain location:John Hendry (Trout Lake) Park,nearby beach,Parks,spring to fall,,
49.264164,-123.107514,Fountain location:Jonathan Rogers Park,E-side of wading pool,Parks,spring to fall,,
49.263954,-123.045152,Fountain location:Kaslo Park,SE corner of tennis courts,Parks,spring to fall,,
